config,elA,elW,scale,prodMantW,pMax,pMinVal,intBits,belowAnchor,aboveAnchor,sopFieldW,scaleMantProdW,scaledTermW,finalAdderW
E2M3_E2M3_UE4M3,E2M3,E2M3,UE4M3,8,5,-6,6,6,8,15,8,23,32
E2M3_E2M1_UE8M0,E2M3,E2M1,UE8M0,6,5,-4,6,4,8,13,0,13,22
E2M3_E2M1_UE7M1,E2M3,E2M1,UE7M1,6,5,-4,6,4,8,13,4,17,26
E2M3_E2M1_UE6M2,E2M3,E2M1,UE6M2,6,5,-4,6,4,8,13,6,19,28
E2M3_E2M1_UE5M3,E2M3,E2M1,UE5M3,6,5,-4,6,4,8,13,8,21,30
E2M3_E2M1_UE4M4,E2M3,E2M1,UE4M4,6,5,-4,6,4,8,13,10,23,32
E2M3_E2M1_UE4M3,E2M3,E2M1,UE4M3,6,5,-4,6,4,8,13,8,21,30
E2M3_INT8_UE8M0,E2M3,INT8,UE8M0,12,4,-9,5,9,7,17,0,17,26
E2M3_INT8_UE7M1,E2M3,INT8,UE7M1,12,4,-9,5,9,7,17,4,21,30
E2M3_INT8_UE6M2,E2M3,INT8,UE6M2,12,4,-9,5,9,7,17,6,23,32
E2M3_INT8_UE5M3,E2M3,INT8,UE5M3,12,4,-9,5,9,7,17,8,25,34
E2M3_INT8_UE4M4,E2M3,INT8,UE4M4,12,4,-9,5,9,7,17,10,27,36
E2M3_INT8_UE4M3,E2M3,INT8,UE4M3,12,4,-9,5,9,7,17,8,25,34
E2M1_E2M1_UE8M0,E2M1,E2M1,UE8M0,4,5,-2,6,2,8,11,0,11,20
E2M1_E2M1_UE7M1,E2M1,E2M1,UE7M1,4,5,-2,6,2,8,11,4,15,24
E2M1_E2M1_UE6M2,E2M1,E2M1,UE6M2,4,5,-2,6,2,8,11,6,17,26
E2M1_E2M1_UE5M3,E2M1,E2M1,UE5M3,4,5,-2,6,2,8,11,8,19,28
E2M1_E2M1_UE4M4,E2M1,E2M1,UE4M4,4,5,-2,6,2,8,11,10,21,30
E2M1_E2M1_UE4M3,E2M1,E2M1,UE4M3,4,5,-2,6,2,8,11,8,19,28
E2M1_INT8_UE8M0,E2M1,INT8,UE8M0,10,4,-7,5,7,7,15,0,15,24
E2M1_INT8_UE7M1,E2M1,INT8,UE7M1,10,4,-7,5,7,7,15,4,19,28
E2M1_INT8_UE6M2,E2M1,INT8,UE6M2,10,4,-7,5,7,7,15,6,21,30
E2M1_INT8_UE5M3,E2M1,INT8,UE5M3,10,4,-7,5,7,7,15,8,23,32
E2M1_INT8_UE4M4,E2M1,INT8,UE4M4,10,4,-7,5,7,7,15,10,25,34
E2M1_INT8_UE4M3,E2M1,INT8,UE4M3,10,4,-7,5,7,7,15,8,23,32
INT8_INT8_UE8M0,INT8,INT8,UE8M0,16,3,-12,4,12,6,19,0,19,28
INT8_INT8_UE7M1,INT8,INT8,UE7M1,16,3,-12,4,12,6,19,4,23,32
INT8_INT8_UE6M2,INT8,INT8,UE6M2,16,3,-12,4,12,6,19,6,25,34
INT8_INT8_UE5M3,INT8,INT8,UE5M3,16,3,-12,4,12,6,19,8,27,36
INT8_INT8_UE4M4,INT8,INT8,UE4M4,16,3,-12,4,12,6,19,10,29,38
INT8_INT8_UE4M3,INT8,INT8,UE4M3,16,3,-12,4,12,6,19,8,27,36
