config,top_area_um2,top_area_mm2,status,tag
E5M2_E3M2_UE8M0_vec16,15498.126,0.015498126,OK,260408-194333_E5M2_E3M2_UE8M0_vec16
E5M2_E3M2_UE8M0_vec32,30896.334,0.030896333999999998,OK,260408-194340_E5M2_E3M2_UE8M0_vec32
E5M2_E3M2_UE8M0_vec4,3949.47,0.003949469999999999,OK,260408-194347_E5M2_E3M2_UE8M0_vec4
E5M2_E4M3_UE2M6_vec16,20437.326,0.020437326,OK,260408-194353_E5M2_E4M3_UE2M6_vec16
E5M2_E4M3_UE2M6_vec32,40774.734,0.04077473399999999,OK,260408-194400_E5M2_E4M3_UE2M6_vec32
E5M2_E4M3_UE2M6_vec4,5184.27,0.00518427,OK,260408-194408_E5M2_E4M3_UE2M6_vec4
E5M2_E4M3_UE4M4_vec16,18503.982,0.018503982,OK,260408-194415_E5M2_E4M3_UE4M4_vec16
E5M2_E4M3_UE4M4_vec32,36908.046,0.036908046,OK,260408-194422_E5M2_E4M3_UE4M4_vec32
E5M2_E4M3_UE4M4_vec4,4700.934,0.004700934,OK,260408-194429_E5M2_E4M3_UE4M4_vec4
E5M2_E4M3_UE6M2_vec16,17072.622,0.017072622,OK,260408-194435_E5M2_E4M3_UE6M2_vec16
E5M2_E4M3_UE6M2_vec32,34045.326,0.034045326,OK,260408-194442_E5M2_E4M3_UE6M2_vec32
E5M2_E4M3_UE6M2_vec4,4343.094,0.004343094,OK,260408-194450_E5M2_E4M3_UE6M2_vec4
E5M2_E4M3_UE8M0_vec16,15604.974,0.015604973999999999,OK,260408-194456_E5M2_E4M3_UE8M0_vec16
E5M2_E4M3_UE8M0_vec32,31110.03,0.031110029999999997,OK,260408-194503_E5M2_E4M3_UE8M0_vec32
E5M2_E4M3_UE8M0_vec4,3976.182,0.003976182,OK,260408-194510_E5M2_E4M3_UE8M0_vec4
E5M2_E5M2_UE2M6_vec16,19850.67,0.019850669999999997,OK,260408-194517_E5M2_E5M2_UE2M6_vec16
E5M2_E5M2_UE2M6_vec32,39601.422,0.039601422,OK,260408-194524_E5M2_E5M2_UE2M6_vec32
E5M2_E5M2_UE2M6_vec4,5037.606,0.005037605999999999,OK,260408-194531_E5M2_E5M2_UE2M6_vec4
E5M2_E5M2_UE4M4_vec16,18177.39,0.018177389999999998,OK,260408-194538_E5M2_E5M2_UE4M4_vec16
E5M2_E5M2_UE4M4_vec32,36254.862,0.036254862,OK,260408-194545_E5M2_E5M2_UE4M4_vec32
E5M2_E5M2_UE4M4_vec4,4619.286,0.004619286,OK,260408-194552_E5M2_E5M2_UE4M4_vec4
E5M2_E5M2_UE6M2_vec16,16681.518,0.016681518,OK,260408-194559_E5M2_E5M2_UE6M2_vec16
E5M2_E5M2_UE6M2_vec32,33263.118,0.033263118,OK,260408-194606_E5M2_E5M2_UE6M2_vec32
E5M2_E5M2_UE6M2_vec4,4245.318,0.004245318,OK,260408-194613_E5M2_E5M2_UE6M2_vec4
E5M2_E5M2_UE8M0_vec16,15560.622,0.015560621999999998,OK,260408-194620_E5M2_E5M2_UE8M0_vec16
E5M2_E5M2_UE8M0_vec32,31021.326,0.031021326,OK,260408-194626_E5M2_E5M2_UE8M0_vec32
E5M2_E5M2_UE8M0_vec4,3965.094,0.003965094,OK,260408-194633_E5M2_E5M2_UE8M0_vec4
INT8_E2M1_UE2M6_vec16,21148.974,0.021148973999999997,OK,260408-194640_INT8_E2M1_UE2M6_vec16
INT8_E2M1_UE2M6_vec32,42198.03,0.04219803,OK,260408-194647_INT8_E2M1_UE2M6_vec32
INT8_E2M1_UE2M6_vec4,5362.182,0.005362181999999999,OK,260408-194655_INT8_E2M1_UE2M6_vec4
INT8_E2M1_UE4M4_vec16,18893.07,0.018893069999999998,OK,260408-194702_INT8_E2M1_UE4M4_vec16
INT8_E2M1_UE4M4_vec32,37686.222,0.037686222,OK,260408-194709_INT8_E2M1_UE4M4_vec32
INT8_E2M1_UE4M4_vec4,4798.206,0.004798206,OK,260408-194716_INT8_E2M1_UE4M4_vec4
INT8_E2M1_UE6M2_vec16,17489.934,0.017489934,OK,260408-194723_INT8_E2M1_UE6M2_vec16
INT8_E2M1_UE6M2_vec32,34879.95,0.03487994999999999,OK,260408-194730_INT8_E2M1_UE6M2_vec32
INT8_E2M1_UE6M2_vec4,4447.422,0.0044474219999999995,OK,260408-194738_INT8_E2M1_UE6M2_vec4
INT8_E2M1_UE8M0_vec1,741.762,0.0007417619999999999,OK,260408-194745_INT8_E2M1_UE8M0_vec1
INT8_E2M1_UE8M0_vec16,15294.51,0.015294509999999999,OK,260408-194751_INT8_E2M1_UE8M0_vec16
INT8_E2M1_UE8M0_vec32,30489.102,0.030489101999999997,OK,260408-194758_INT8_E2M1_UE8M0_vec32
INT8_E2M1_UE8M0_vec4,3898.566,0.0038985659999999996,OK,260408-194805_INT8_E2M1_UE8M0_vec4
INT8_E2M3_UE2M6_vec16,23126.67,0.02312667,OK,260408-194811_INT8_E2M3_UE2M6_vec16
INT8_E2M3_UE2M6_vec32,46153.422,0.046153422,OK,260408-194819_INT8_E2M3_UE2M6_vec32
INT8_E2M3_UE2M6_vec4,5856.606,0.0058566059999999994,OK,260408-194826_INT8_E2M3_UE2M6_vec4
INT8_E2M3_UE4M4_vec16,20715.534,0.020715533999999997,OK,260408-194834_INT8_E2M3_UE4M4_vec16
INT8_E2M3_UE4M4_vec32,41331.15,0.04133115,OK,260408-194841_INT8_E2M3_UE4M4_vec32
INT8_E2M3_UE4M4_vec4,5253.822,0.005253822,OK,260408-194849_INT8_E2M3_UE4M4_vec4
INT8_E2M3_UE6M2_vec16,18372.942,0.018372942,OK,260408-194856_INT8_E2M3_UE6M2_vec16
INT8_E2M3_UE6M2_vec32,36645.966,0.036645966,OK,260408-194903_INT8_E2M3_UE6M2_vec32
INT8_E2M3_UE6M2_vec4,4668.174,0.004668174,OK,260408-194910_INT8_E2M3_UE6M2_vec4
INT8_E2M3_UE8M0_vec16,15990.03,0.01599003,OK,260408-194917_INT8_E2M3_UE8M0_vec16
INT8_E2M3_UE8M0_vec32,31880.142,0.031880142,OK,260408-194924_INT8_E2M3_UE8M0_vec32
INT8_E2M3_UE8M0_vec4,4072.446,0.0040724459999999995,OK,260408-194931_INT8_E2M3_UE8M0_vec4
INT8_E3M2_UE2M6_vec16,22582.35,0.022582349999999998,OK,260408-194938_INT8_E3M2_UE2M6_vec16
INT8_E3M2_UE2M6_vec32,45064.782,0.045064782,OK,260408-194946_INT8_E3M2_UE2M6_vec32
INT8_E3M2_UE2M6_vec4,5720.526,0.005720525999999999,OK,260408-194954_INT8_E3M2_UE2M6_vec4
INT8_E3M2_UE4M4_vec16,20247.822,0.020247822,OK,260408-195001_INT8_E3M2_UE4M4_vec16
INT8_E3M2_UE4M4_vec32,40395.726,0.040395726,OK,260408-195009_INT8_E3M2_UE4M4_vec32
INT8_E3M2_UE4M4_vec4,5136.894,0.005136894,OK,260408-195016_INT8_E3M2_UE4M4_vec4
INT8_E3M2_UE6M2_vec16,17435.502,0.017435502,OK,260408-195023_INT8_E3M2_UE6M2_vec16
INT8_E3M2_UE6M2_vec32,34771.086,0.034771086,OK,260408-195030_INT8_E3M2_UE6M2_vec32
INT8_E3M2_UE6M2_vec4,4433.814,0.004433814,OK,260408-195038_INT8_E3M2_UE6M2_vec4
INT8_E3M2_UE8M0_vec16,15292.494,0.015292494,OK,260408-195045_INT8_E3M2_UE8M0_vec16
INT8_E3M2_UE8M0_vec32,30485.07,0.03048507,OK,260408-195052_INT8_E3M2_UE8M0_vec32
INT8_E3M2_UE8M0_vec4,3898.062,0.003898062,OK,260408-195059_INT8_E3M2_UE8M0_vec4
INT8_E4M3_UE2M6_vec16,23491.566,0.023491566,OK,260408-195106_INT8_E4M3_UE2M6_vec16
INT8_E4M3_UE2M6_vec32,46883.214,0.046883214,OK,260408-195114_INT8_E4M3_UE2M6_vec32
INT8_E4M3_UE2M6_vec4,5947.83,0.0059478299999999994,OK,260408-195122_INT8_E4M3_UE2M6_vec4
INT8_E4M3_UE4M4_vec16,20784.078,0.020784078,OK,260408-195129_INT8_E4M3_UE4M4_vec16
INT8_E4M3_UE4M4_vec32,41468.238,0.041468238,OK,260408-195136_INT8_E4M3_UE4M4_vec32
INT8_E4M3_UE4M4_vec4,5270.958,0.005270957999999999,OK,260408-195144_INT8_E4M3_UE4M4_vec4
INT8_E4M3_UE6M2_vec16,18487.854,0.018487853999999998,OK,260408-195151_INT8_E4M3_UE6M2_vec16
INT8_E4M3_UE6M2_vec32,36875.79,0.03687579,OK,260408-195158_INT8_E4M3_UE6M2_vec32
INT8_E4M3_UE6M2_vec4,4696.902,0.004696902,OK,260408-195206_INT8_E4M3_UE6M2_vec4
INT8_E4M3_UE8M0_vec16,16044.462,0.016044462,OK,260408-195213_INT8_E4M3_UE8M0_vec16
INT8_E4M3_UE8M0_vec32,31989.006,0.031989006,OK,260408-195220_INT8_E4M3_UE8M0_vec32
