net,length_um
accumulator._0583_,42.22
accumulator._0633_,42.22
accumulator._0119_,42.16
accumulator._0455_,42.12
accumulator._0174_,42.09
accumulator._0370_,41.92
accumulator._0122_,41.78
accumulator._0775_,41.74
accumulator._0172_,41.62
accumulator._0590_,41.42
accumulator._0230_,40.9
accumulator._0193_,40.82
accumulator._0764_,40.5
accumulator._0140_,40.4
accumulator._0912_,40.38
accumulator._0466_,40.37
scaleAdd._106_,40.32
accumulator._0134_,40.26
accumulator._1079_,40.06
accumulator._0486_,39.96
accumulator._0076_,39.84
accumulator._1006_,39.83
accumulator._0131_,39.7
accumulator._0094_,39.64
scaleAdd._108_,39.6
accumulator._0144_,39.51
accumulator._0941_,39.36
accumulator._0657_,39.24
accumulator._0736_,39.08
accumulator._0774_,39.04
net5,39
accumulator._0109_,38.88
accumulator._0042_,38.76
accumulator._0909_,38.72
scaleAdd._087_,38.72
net9,38.68
accumulator._0996_,38.65
accumulator._0596_,38.4
accumulator._0535_,38.37
accumulator._0161_,38.3
accumulator._0674_,38.22
accumulator._0194_,38.2
net43,38.08
net45,37.7
net64,37.68
scaleAdd._003_,37.58
accumulator._0449_,37.56
accumulator._0683_,37.56
accumulator._0798_,37.3
accumulator._0968_,37.19
accumulator._0863_,37.115
accumulator._0238_,36.96
accumulator._0083_,36.79
accumulator._0913_,36.62
accumulator._0401_,36.6
accumulator._0518_,36.54
accumulator._0147_,36.5
accumulator._0717_,36.4
accumulator._0209_,36.38
accumulator._0991_,36.04
accumulator._0887_,36
accumulator.io_inMant\[5\],36
accumulator._0994_,35.92
accumulator._0253_,35.88
accumulator._0636_,35.86
accumulator._0866_,35.78
accumulator._1185_,35.72
accumulator._0367_,35.6
accumulator._0882_,35.59
accumulator._1053_,35.58
accumulator._0569_,35.54
accumulator._0450_,35.5
accumulator._0343_,35.33
accumulator._0524_,35.16
accumulator._0574_,34.92
accumulator._0960_,34.86
accumulator._0577_,34.78
accumulator._0127_,34.76
net14,34.74
accumulator._1130_,34.68
accumulator._0660_,34.42
accumulator._0552_,34.06
scaleAdd._311_,34.02
scaleAdd._080_,33.92
